code_name,plan_file,cost_per_trade,borrow_rate,turnover_estimate_pa,winsor_cap,asset_class,cost_realism_verdict,breakeven_cost_estimate,notes
avoid_worst,R/plan_avoid_worst.R,NA,NA,NA,NA,equity_etf,N/A — not a tradeable strategy,NA,Theoretical exercise: worst/best-day removal from SPY. No portfolio trades. Not in leaderboard.
drif,R/plan_drif.R,0.0000,0.00,0.40,0.20,equity_factor,CRITICAL — no cost model at all,NA,drif_portfolio target: port_ret = mean(selected$actual_ret). Zero cost deduction. Caption in plan_stock_backtest.R claims 0.10%/trade but no code implements it. Returns are gross factor returns. See #424.
fac_max,R/plan_factormax.R,0.0000,0.00,0.30,0.20,equity_factor,CRITICAL — no cost model at all,NA,fm_portfolio target: port_ret = mean(factor_rets$monthly_ret). Zero cost deduction. Same gap as drif. Factor-level long-only: trades 2-4 ETF positions/month.
rsc,R/plan_risk_state.R,0.0000,0.00,0.10,NA,equity_etf,MAJOR — cost model missing for regime switches,NA,rsc_portfolio: ret_strategy = exposure * spy_ret + (1-exposure)*rf_daily. No trading cost on regime switches. Regime changes ~monthly. Estimated 1-2 round-trips/month on SPY = ~0.01-0.02%/month at realistic ETF costs (negligible). Gap is real but impact small.
ltr,R/plan_ltr_momentum.R,0.0010,0.03,2.40,0.20,equity_stock,REALISTIC — 10bps for LambdaMART demo universe,NA,ltr_params cost_per_trade=0.0010. Pre-computed portfolio reads ls_ret_net (net of cost). Small ~51-stock universe = tighter spreads than real Russell 3000. Conservative label.
tom,R/plan_turn_of_month.R,0.0005,0.00,0.24,NA,equity_etf,REALISTIC — 5bps round-trip per TOM window for SPY,NA,tom_params cost_bps=5 (0.05% round-trip per TOM entry/exit). SPY is most liquid ETF. 5bps is generous. Approximately 12 TOM windows/year = ~0.60%/yr total cost. Plausible.
stk_max,R/plan_stock_backtest.R,0.0050,0.03,9.60,0.20,equity_stock,AGGRESSIVE but documented,0.03125,portfolio_longshort() with cost_per_trade=stk_params$cost_per_trade=0.005. est_turnover=0.80 hardcoded. Monthly = 9.6× annual. Total: 0.80×0.005×4=1.6%/mo + 0.25%/mo borrow = 1.85%/mo. Needs 22% gross CAGR to break even.
stk_drif,R/plan_stock_backtest.R,0.0050,0.03,9.60,0.20,equity_stock,AGGRESSIVE but documented,0.03125,Same portfolio_longshort() call as stk_max. Elastic-net DRIF signal. Same cost structure. 22% gross CAGR break-even. Uses stk_params shared with stk_max.
xgb_drif,R/plan_xgb_signal.R,0.0050,0.03,9.60,0.20,equity_stock,AGGRESSIVE but documented,0.03125,xgb_drif_portfolio calls portfolio_longshort() with stk_params$cost_per_trade=0.005. Same cost structure as stk_max/stk_drif. XGBoost signal on same stock universe.
pso_optimal,R/plan_portfolio_opt.R,NA,NA,NA,NA,multi_strategy,N/A — meta strategy combining existing strategy returns,NA,port_params has no cost fields. Combines stk_max + stk_drif + fac_max + fac_drif returns which already have costs (or lack thereof) baked in. PSO optimises weights. Any cost gap propagates from constituent strategies.
cmr,R/plan_commodities_mean_reversion.R,0.0020,0.00,12.00,NA,commodity,REASONABLE for commodity futures,0.00833,cost_bps=20 (0.20% per trade). Commodities have wider spreads than equity ETFs. 10L + 10S = 20 positions/month. Full turnover monthly = 12× annual = 2.4%/yr round-trip cost total. Consistent with commodity futures execution.
mom_prepeak,R/plan_mom_prepeak.R,0.0010,0.00,1.20,0.20,equity_stock,POSSIBLY OPTIMISTIC for 51-stock universe,0.04167,mom_prepeak_params cost_per_trade=0.0010 (10bps). Matches ltr_params — shared universe of ~51 US stocks. 30% turnover/period listed in strategy_names; annual = 1.2×. At 10bps: ~0.12%/yr total cost. Very low for stock-level long-short.
mom_postpeak,R/plan_mom_prepeak.R,0.0010,0.00,1.20,0.20,equity_stock,POSSIBLY OPTIMISTIC for 51-stock universe,0.04167,Same params as mom_prepeak. Uses post_peak_return signal column. Same cost structure and universe.
mom_combined,R/plan_mom_prepeak.R,0.0010,0.00,1.20,0.20,equity_stock,POSSIBLY OPTIMISTIC for 51-stock universe,0.04167,Same params as mom_prepeak. Uses total_return (12-2 momentum baseline). Same cost structure and universe.
